StationID	LabNumber	DateSampledFormatted	DateSampled	RelativeDepthSample	Parameter	Result	ParameterGroup	HUC	County	EcoRegion	Description	ADEQPlSeg
ARK0020 	57192	2/2/1993 1:45:00 PM	2/2/1993 1:45:00 PM		Chloride (mg/l)	37.0	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	57790	3/23/1993 12:30:00 PM	3/23/1993 12:30:00 PM		Chloride (mg/l)	84.2	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	58194	4/27/1993 12:10:00 PM	4/27/1993 12:10:00 PM		Chloride (mg/l)	45.6	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	58651	5/25/1993 12:15:00 PM	5/25/1993 12:15:00 PM		Chloride (mg/l)	52.6	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	58986	6/29/1993 1:10:00 PM	6/29/1993 1:10:00 PM		Chloride (mg/l)	47.6	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	59436	7/27/1993 1:05:00 PM	7/27/1993 1:05:00 PM		Chloride (mg/l)	44.1	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	59642	8/17/1993 12:10:00 PM	8/17/1993 12:10:00 PM		Chloride (mg/l)	79.8	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	60199	9/28/1993 12:30:00 PM	9/28/1993 12:30:00 PM		Chloride (mg/l)	69.3	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	60561	10/25/1993 12:00:00 PM	10/25/1993 12:00:00 PM		Chloride (mg/l)	17.5	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	60924	11/23/1993 11:00:00 AM	11/23/1993 11:00:00 AM		Chloride (mg/l)	22.5	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	61266	12/21/1993 3:33:00 PM	12/21/1993 3:33:00 PM		Chloride (mg/l)	19.7	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	61421	1/18/1994 12:40:00 PM	1/18/1994 12:40:00 PM		Chloride (mg/l)	18.4	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	61652	2/8/1994 12:40:00 PM	2/8/1994 12:40:00 PM		Chloride (mg/l)	7.59	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	61966	3/8/1994 1:20:00 PM	3/8/1994 1:20:00 PM		Chloride (mg/l)	48.5	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	62288	4/5/1994 12:20:00 PM	4/5/1994 12:20:00 PM		Chloride (mg/l)	39.6	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	62849	5/4/1994 11:10:00 AM	5/4/1994 11:10:00 AM		Chloride (mg/l)	58.4	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	63193	5/31/1994 12:30:00 PM	5/31/1994 12:30:00 PM		Chloride (mg/l)	35.6	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	63661	7/5/1994 1:00:00 PM	7/5/1994 1:00:00 PM		Chloride (mg/l)	47.6	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	64235	8/2/1994 1:15:00 PM	8/2/1994 1:15:00 PM		Chloride (mg/l)	68.1	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	64943	9/6/1994 12:46:00 PM	9/6/1994 12:46:00 PM		Chloride (mg/l)	90.9	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	65443	10/4/1994 1:45:00 PM	10/4/1994 1:45:00 PM		Chloride (mg/l)	74.4	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	65807	11/1/1994 11:40:00 AM	11/1/1994 11:40:00 AM		Chloride (mg/l)	R	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	66146	11/29/1994 11:50:00 AM	11/29/1994 11:50:00 AM		Chloride (mg/l)	R	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	66490	1/3/1995 12:40:00 PM	1/3/1995 12:40:00 PM		Chloride (mg/l)	33.0	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	66921	1/31/1995 12:55:00 PM	1/31/1995 12:55:00 PM		Chloride (mg/l)	51.425	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	67345	3/14/1995 12:20:00 PM	3/14/1995 12:20:00 PM		Chloride (mg/l)	57.002	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	67592	4/4/1995 12:15:00 PM	4/4/1995 12:15:00 PM		Chloride (mg/l)	115	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
ARK0020 	68455	5/30/1995 2:20:00 PM	5/30/1995 2:20:00 PM		Chloride (mg/l)	43.695	Minerals, Anions, TDS	08020401	Arkansas	Mississippi Alluvial Plain	Arkansas River at Lock and Dam No. 2	3A
